                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.41877,                0.38197,                 1.0077,                0.97935,                0.94462,                0.98165,                0.91229,                0.39969,                0.38167,                 1.0138,             0.00022091,             0.00022091,             0.00022091
                     37,                0.41486,                0.37808,                 1.0059,                0.96817,                0.94682,                0.98128,                 0.9263,                0.37913,                0.36204,                0.98869,             0.00021762,             0.00021762,             0.00021762
                     38,                0.41422,                0.36204,                 1.0085,                 0.9742,                0.94679,                0.97952,                0.91869,                0.38807,                0.38076,                0.99336,             0.00021432,             0.00021432,             0.00021432
                     39,                0.41116,                0.36284,                 1.0022,                0.96947,                0.94183,                0.97705,                0.92162,                0.37899,                0.38261,                0.98138,             0.00021102,             0.00021102,             0.00021102
                     40,                0.41629,                0.35964,                 1.0092,                0.97055,                0.94076,                0.98292,                0.92545,                0.39229,                 0.3708,                0.99391,             0.00020773,             0.00020773,             0.00020773
                     41,                0.40783,                0.35386,                 1.0024,                0.97419,                0.94734,                0.97465,                0.92158,                0.39674,                0.37593,                 1.0064,             0.00020443,             0.00020443,             0.00020443
                     42,                0.40963,                 0.3441,                 1.0028,                0.96538,                0.94747,                0.97887,                0.92907,                0.36661,                0.36646,                0.97194,             0.00020113,             0.00020113,             0.00020113
                     43,                0.40456,                 0.3429,                 1.0053,                0.97772,                0.94225,                0.97653,                 0.9278,                0.37094,                0.36945,                0.98039,             0.00019784,             0.00019784,             0.00019784
                     44,                0.40746,                0.33491,                 1.0054,                0.97356,                0.94376,                 0.9784,                0.91999,                0.38619,                0.37852,                 1.0002,             0.00019454,             0.00019454,             0.00019454
                     45,                 0.4072,                0.33771,                 1.0079,                0.97809,                0.94526,                0.98185,                0.91948,                0.37823,                0.37643,                0.98429,             0.00019124,             0.00019124,             0.00019124
